Team,Abbrev
Anaheim Ducks,ANA
Arizona Coyotes,ARI
Boston Bruins,BOS
Buffalo Sabres,BUF
Calgary Flames,CGY
Carolina Hurricanes,CAR
Chicago Blackhawks,CHI
Colorado Avalanche,COL
Columbus Blue Jackets,CBJ
Dallas Stars,DAL
Detroit Red Wings,DET
Edmonton Oilers,EDM
Flordia Panthers,FLA
Los Angeles Kings,LAK
Minnesota Wild,MIN
Montreal Canadiens,MON
Nashville Predators,NSH
New Jersey Devils,NJD
New York Islanders,NYI
New York Rangers,NYR
Ottawa Senators,OTT
Philadeliphia Flyers,PHI
Pittsburgh Penguins,PIT
San Jose Sharks,SJS
Seattle Kraken,SEA
St. Louis Blues,STL
Tampa Bay Lightning,TBL
Toronto Maple Leafs,TOR
Utah Hockey Club,UTA
Vancouver Canucks,VAN
Vegas Golden Knights,VGK
Washington Capitals,WAS
Winnipeg Jets,WPG